"id","Image","Name","Real_Name","Collection","Serie","Brand","Year","Type","Price","Own","Lot","Notes"
"1",,"Enigma (ultra raro)",,"Ultra Raro","1","MagicBox","2018","Figura","0","0","0",
"2",,"Kactor (raro)",,"Dorados","1","MagicBox","2018","Figura","0","0","2",
"3","/uploads/collections/Superthings/Ironhead(raro)_3.jpg","Ironhead (raro)",,"Star Team","1","MagicBox","2018","Figura","0","1","3",
"4",,"TV-Tron Amarillo",,"Star Team","1","MagicBox","2018","Figura","0","0","4",
"5",,"TV-Tron Morado",,"Star Team","1","MagicBox","2018","Figura","0","0","5",
"6",,"Wondershine Morado",,"Star Team","1","MagicBox","2018","Figura","0","0","6",
"7",,"Wondershine Amarillo",,"Star Team","1","MagicBox","2018","Figura","0","0","7",
"8",,"Super Soft Amarillo",,"Star Team","1","MagicBox","2018","Figura","0","0","8",
"9",,"Super Soft Morado",,"Star Team","1","MagicBox","2018","Figura","0","0","9",
"10",,"Brush Lee Azul",,"Star Team","1","MagicBox","2018","Figura","0","0","10",
"11",,"Brush Lee Naranja",,"Star Team","1","MagicBox","2018","Figura","0","0","11",
"12",,"Dr. Fresher Morado",,"Star Team","1","MagicBox","2018","Figura","0","0","12",
"13",,"Dr. Fresher Amarillo",,"Star Team","1","MagicBox","2018","Figura","0","0","13",
"14",,"Fizzer Amarillo",,"Star Team","1","MagicBox","2018","Figura","0","0","14",
"15",,"Fizzer Morado",,"Star Team","1","MagicBox","2018","Figura","0","0","15",
"16","/uploads/collections/Superthings/Coink(raro)_16.jpg","Coink (raro)",,"Furious Gang","1","MagicBox","2018","Figura","0","1","16",
"17",,"Badnana Amarillo",,"Furious Gang","1","MagicBox","2018","Figura","0","0","17",
"18",,"Badnana Morado",,"Furious Gang","1","MagicBox","2018","Figura","0","0","18",
"19","/uploads/collections/Superthings/SmashAzul_19.jpg","Smash Azul",,"Furious Gang","1","MagicBox","2018","Figura","0","1","19",
"20",,"Smash Naranja",,"Furious Gang","1","MagicBox","2018","Figura","0","0","20",
"21",,"Pow Power Verde",,"Furious Gang","1","MagicBox","2018","Figura","0","0","21",
"22",,"Pow Power Rojo",,"Furious Gang","1","MagicBox","2018","Figura","0","0","22",
"23",,"Ring Ding Rojo",,"Furious Gang","1","MagicBox","2018","Figura","0","0","23",
"24",,"Ring Ding Verde",,"Furious Gang","1","MagicBox","2018","Figura","0","0","24",
"25",,"Sugar Rush Verde",,"Furious Gang","1","MagicBox","2018","Figura","0","0","25",
"26",,"Sugar Rush Rojo",,"Furious Gang","1","MagicBox","2018","Figura","0","0","26",
"27",,"Zapper Rojo",,"Furious Gang","1","MagicBox","2018","Figura","0","0","27",
"28",,"Zapper Verde",,"Furious Gang","1","MagicBox","2018","Figura","0","0","28",
"29",,"Metal Crunch (raro)",,"Central Patrol","1","MagicBox","2018","Figura","0","0","29",
"30",,"Mr. C Naranja",,"Central Patrol","1","MagicBox","2018","Figura","0","0","30",
"31","/uploads/collections/Superthings/Mr.CAzul_31.jpg","Mr. C Azul",,"Central Patrol","1","MagicBox","2018","Figura","0","1","31",
"32",,"Power Shield Naranja",,"Central Patrol","1","MagicBox","2018","Figura","0","0","32",
"33",,"Power Shield Morado",,"Central Patrol","1","MagicBox","2018","Figura","0","0","33",
"34",,"The Champ Morado",,"Central Patrol","1","MagicBox","2018","Figura","0","0","34",
"35",,"The Champ Amarillo",,"Central Patrol","1","MagicBox","2018","Figura","0","0","35",
"36",,"Strikeberry Rojo",,"Central Patrol","1","MagicBox","2018","Figura","0","0","36",
"37",,"Strikeberry Verde",,"Central Patrol","1","MagicBox","2018","Figura","0","0","37",
"38","/uploads/collections/Superthings/AceAmarillo_38.jpg","Ace Amarillo",,"Central Patrol","1","MagicBox","2018","Figura","0","0","38",
"39","/uploads/collections/Superthings/AceMorado_39.jpg","Ace Morado",,"Central Patrol","1","MagicBox","2018","Figura","0","0","39",
"40",,"Brain Freeze Azul",,"Central Patrol","1","MagicBox","2018","Figura","0","0","40",
"41",,"Brain Freeze Naranja",,"Central Patrol","1","MagicBox","2018","Figura","0","0","41",
